Author,Masse,Contribution axe 1 (%),Contribution axe 2 (%),Contribution plan 1-2 (%)
SOLJENITSYNE,0.04405286343612335,1.5645806380812726,31.706336443204393,14.637450116741505
FADEÏEV,0.00881057268722467,20.86762300341653,1.4746228585594576,12.456627926272915
POLEVOÏ,0.00881057268722467,20.86762300341653,1.4746228585594576,12.456627926272915
BERGHOLTS,0.013215859030837005,17.000648131481373,0.37811989950506125,9.791242568417372
FEDINE,0.013215859030837005,13.344735886933384,0.9667525078832595,7.976244344186409
GUINZBOURG,0.013215859030837005,0.08912859581350221,12.651129949176356,5.537431114917367
GORKI,0.039647577092511016,0.04715312845141871,9.900318575913639,4.320598467174024
TOURGUENIEV,0.1013215859030837,2.716484429017892,3.1217188448123987,2.892239838231389
BABEL,0.00881057268722467,3.703987429856682,0.5980021783466847,2.356881439809065
N.OSTROVSKI,0.00881057268722467,2.3997204625258886,2.168205454492096,2.2993094081087357
DOSTOÏEVSKI,0.14977973568281938,2.390307881498469,1.7180052454000092,2.0987215297047044
AVVAKUM,0.00881057268722467,0.12010950733945586,4.474322386958529,2.008587969761561
HERZEN,0.013215859030837005,0.9242314841509305,3.0097720275336393,1.8287574013658225
AKSAKOV,0.01762114537444934,0.7316637556525477,2.9757010217536237,1.7049317522037886
BLOK,0.00881057268722467,0.6177470363253835,2.481975312371395,1.4262869597705543
V.NEKRASSOV,0.013215859030837005,0.017812948081858963,2.960003998895234,1.293879274053089
DOUDINTSEV,0.013215859030837005,0.017812948081858963,2.960003998895234,1.293879274053089
AÏTMATOV,0.013215859030837005,0.44631951197661,2.3819183963695725,1.2858137916830608
A.TOLSTOÏ,0.01762114537444934,1.0676634995325698,1.3419814665396808,1.1866387510580916
POUCHKINE,0.06167400881057269,1.0163232796688266,1.310256723166147,1.1438060171409585
TCHEKHOV,0.039647577092511016,1.2720950051380635,0.7072020672247271,1.027093629156416
L.TOLSTOÏ,0.1013215859030837,0.6124410333427561,1.28914104510221,0.9059345838556822
CHOLOKHOV,0.01762114537444934,1.2900934085360818,0.20074207700673297,0.8176276415926904
PASTERNAK,0.022026431718061675,0.7614176850315126,0.7706630646473457,0.7654275257912838
GRIBOÏEDOV,0.013215859030837005,0.5427114857032517,1.0243109521479625,0.7515874054250223
BIELY,0.01762114537444934,0.36433082771318565,0.9953222047359905,0.6379999519444017
SALTYKOV-CHTCHEDRINE,0.01762114537444934,0.9901203321064587,0.16210203588125682,0.6309980838048231
TENDRIAKOV,0.013215859030837005,0.3134312450877209,0.8447477181122693,0.5438700738214954
LESKOV,0.013215859030837005,0.7637903104271637,0.2118790826659276,0.5244192701009914
GONTCHAROV,0.022026431718061675,0.8431685639279621,0.00013976828183692055,0.4775360678156836
LEONOV,0.01762114537444934,8.56047631984582e-08,1.0719222283096679,0.4649065878492429
SOLOGOUB,0.00881057268722467,0.05335466708325524,0.9637429543202394,0.4482018462222783
GOGOL,0.01762114537444934,0.30291254257412265,0.5108019281386177,0.3930768588486773
A.OSTROVSKI,0.01762114537444934,0.619695684643594,0.07745753748238933,0.3845199845278046
TCHERNYCHEVSKI,0.022026431718061675,0.1176071196179095,0.719042956924733,0.3784576238730221
MELNIKOV-PETCHERSKI,0.013215859030837005,0.5269547201683858,0.04647874020160782,0.3185660710682077
BOUNINE,0.01762114537444934,0.26116431255958295,0.16245814833532232,0.21835417203606242
ZAMIATINE,0.01762114537444934,0.15083923764500223,0.124138115216214,0.1392586153779362
KOUPRINE,0.00881057268722467,0.16164857105283184,0.030370484182016898,0.10471156624906096
KOUZNETSOV,0.004405286343612335,0.10054660073342747,0.03356674274718496,0.07149656971285501
