Theme,Masse,Contribution axe 1 (%),Contribution axe 2 (%),Contribution plan 1-2 (%)
Patrie,0.022026431718061675,45.295527685412765,2.2481904170872857,26.62534054863569
Guerre,0.05286343612334802,37.20347936541239,2.3156856869970106,22.072191854986986
Société,0.04405286343612335,2.5310289736707214,32.33312631671082,15.456584182689797
Souffrance,0.030837004405286344,0.08924164505568054,29.84377362174751,12.99416713926996
Intelligentsia,0.039647577092511016,1.3382164672582926,5.757029687665152,3.254712933304863
Liberté,0.02643171806167401,0.014759370043976414,6.6521052241580305,2.8934621435835233
Noblesse,0.05726872246696035,2.172696075576944,3.2769547627242206,2.6516273555291034
Apprentissage,0.030837004405286344,0.14313136591906783,5.751916202577993,2.5757339182583805
Occident,0.039647577092511016,1.7046222904881947,3.687077360596475,2.5644387041832726
Nature,0.03524229074889868,0.4480288446585107,3.803181590318905,1.9032020007469101
Argent,0.05726872246696035,1.6420164062087577,1.718998491009007,1.675404532411338
Traditions,0.05286343612334802,2.705688188002629,0.20773446245333946,1.6222933377169477
Femme,0.15418502202643172,1.9190144860769507,0.4906658129988104,1.2995211860219376
Révolution,0.04405286343612335,0.6206114317156773,0.7154022093889773,0.6617234184332238
Fantastique,0.01762114537444934,0.7312525288268025,0.41226812017095243,0.5929048636461041
Bonheur,0.039647577092511016,0.08537920814019669,0.7349429565626534,0.36710341014414094
Ville,0.030837004405286344,0.5402298797266665,0.02597454987379686,0.3171906895302787
Mort,0.05726872246696035,0.448401444668269,0.02171690751183806,0.2633428402899369
Amour,0.16740088105726872,0.36667434313728176,0.003255619447226985,0.2090549406174766
