Author,Distance au centre d2,Cos2 axe 1,Cos2 axe 2,Cos2 plan 1-2
POLEVOÏ,15.079166666666675,0.8565137088090504,0.04635622232025465,0.902869931129305
FADEÏEV,15.079166666666675,0.8565137088090504,0.04635622232025465,0.902869931129305
FEDINE,6.810038986354778,0.8085517162320114,0.04486202435568666,0.853413740587698
BERGHOLTS,8.668518518518521,0.8092226237821113,0.01378471559224245,0.8230073393743538
GUINZBOURG,5.84603174603175,0.006290762853691341,0.6838822076071299,0.6901729704608213
SOLJENITSYNE,4.76342365529208,0.04065813146366226,0.6310463614902392,0.6717044929539014
TOURGUENIEV,0.6489874260319994,0.22527436530886022,0.19827322922451293,0.42354759453337315
GORKI,3.058798706167127,0.002120243683672718,0.34094959177871514,0.34306983546238784
V.NEKRASSOV,2.906599832915623,0.002528703888967341,0.3218253210410022,0.32435402492996956
DOUDINTSEV,2.906599832915623,0.002528703888967341,0.3218253210410022,0.32435402492996956
BABEL,9.40416666666667,0.24377426993505738,0.03014302719171273,0.2739172971267701
DOSTOÏEVSKI,0.6164566215467685,0.14116956547420345,0.07771009841346936,0.21887966388767283
N.OSTROVSKI,11.836309523809527,0.12548245846663775,0.08683374577347343,0.21231620424011116
HERZEN,6.545109211775884,0.05826547345512714,0.14532149654011076,0.2035869699952379
CHOLOKHOV,2.3797540726817044,0.16776360872890989,0.01999312842229305,0.18775673715120295
AVVAKUM,11.83630952380953,0.006280579968179937,0.17919066288334254,0.18547124285152247
AKSAKOV,5.073861034798539,0.04462535208080573,0.13900331152579976,0.18362866360660549
A.TOLSTOÏ,3.550785818713453,0.09305047639617532,0.08957698944962234,0.18262746584579764
POUCHKINE,0.989274353466083,0.09083553133257263,0.08969041286633551,0.18052594419890816
PASTERNAK,2.2980426065162907,0.08202827001377215,0.06358737205494236,0.14561564206871452
BLOK,11.611111111111116,0.03292877443859831,0.10132767857312996,0.13425645301172828
GRIBOÏEDOV,4.40638276603189,0.050819947436474486,0.07346200103614892,0.1242819484726234
AÏTMATOV,7.857804232804238,0.023436463987167533,0.09579411544740671,0.11923057943457424
A.OSTROVSKI,2.052350226527857,0.09344061329632551,0.008945129519512148,0.10238574281583766
LESKOV,3.7626577126577154,0.08375810646902815,0.017795349791992963,0.10155345626102111
L.TOLSTOÏ,0.9459956997092602,0.03484303327832647,0.05617173655054748,0.09101476982887395
TCHEKHOV,3.0280023420374316,0.05778159215581677,0.024602498707780637,0.08238409086359741
TENDRIAKOV,5.36876914508494,0.024088789504821965,0.04972393099186778,0.07381272049668974
TCHERNYCHEVSKI,2.424153717627404,0.0120108053076274,0.056241784159240873,0.06825258946686827
GONTCHAROV,3.3033283208020072,0.06319188849770702,8.022713691338645e-06,0.06319991121139835
MELNIKOV-PETCHERSKI,3.70576548208127,0.05867360678054226,0.003963597757237085,0.06263720453777935
SOLOGOUB,8.600563909774442,0.0038395839241736483,0.05311763194320627,0.056957215867379916
GOGOL,3.9206309041835334,0.023909471664584136,0.03087955193531646,0.054789023599900594
SALTYKOV-CHTCHEDRINE,6.756353021978025,0.04535073471160036,0.00568657218965385,0.05103730690125421
LEONOV,5.046577380952383,5.249400103014453e-09,0.05034319346919568,0.05034319871859578
BIELY,7.568799603174606,0.014896272069064981,0.031168155879118396,0.04606442794818338
BOUNINE,2.643496059861191,0.03057340757987592,0.014565897601277689,0.04513930518115361
KOUZNETSOV,5.485714285714285,0.022688348351013955,0.005801101018267206,0.02848944936928116
KOUPRINE,4.986813186813188,0.02006261080391931,0.002886908592794974,0.022949519396714285
ZAMIATINE,6.861202485380116,0.00680334938294327,0.004288242453252901,0.011091591836196171
