Theme,Distance au centre d2,Cos2 axe 1,Cos2 axe 2,Cos2 plan 1-2
Guerre,4.738969404186787,0.8098173565225598,0.03860547255202816,0.848422829074588
Patrie,14.528115942028967,0.7718709485663365,0.029341898012485348,0.8012128465788219
Société,5.772166666666666,0.05427838629816927,0.5310595813665242,0.5853379676646935
Souffrance,7.574949979991991,0.0020833317439100775,0.5335932658265419,0.5356765975704519
Liberté,5.134612105711851,0.0005930312837501775,0.20470791358748944,0.20530094487123962
Noblesse,2.2452373025361427,0.09214293719903026,0.10643862538573402,0.19858156258476428
Occident,3.9090992811509997,0.05997601777562944,0.09935676718691695,0.15933278496254638
Intelligentsia,5.886357130076936,0.031268419227573147,0.10302527071271723,0.1342936899402904
Nature,3.986920936853002,0.017387896172994778,0.11304565227709631,0.13043354845009109
Argent,2.2849338946624007,0.06842726361864189,0.05486468820599807,0.12329195182463995
Femme,0.747979571124516,0.09073798809481459,0.017768977242784947,0.10850696533759954
Apprentissage,8.346409992568464,0.0030325343914479157,0.09333600505190025,0.09636853944334817
Traditions,4.607603663446058,0.060574530691705014,0.0035619400189113534,0.06413647071061637
Révolution,3.8260607315389956,0.020078745963065695,0.017726901439215386,0.03780564740228108
Bonheur,2.780466357235325,0.004223384695900073,0.02784376055967964,0.032067145255579715
Fantastique,10.654017857142854,0.021240397627317095,0.009171508094074006,0.030411905721391103
Mort,1.5016514263710807,0.02843303313973358,0.0010546780531915402,0.02948771119292512
Amour,0.4202259445670753,0.02842383918346588,0.0001932865292515346,0.028617125712717417
Ville,3.5518312915228205,0.026896570336545696,0.0009904488988239431,0.02788701923536964
