Theme,Masse
Amour,0.16740088105726872
Apprentissage,0.030837004405286344
Argent,0.05726872246696035
Bonheur,0.039647577092511016
Fantastique,0.01762114537444934
Femme,0.15418502202643172
Guerre,0.05286343612334802
Intelligentsia,0.039647577092511016
Liberté,0.02643171806167401
Mort,0.05726872246696035
Nature,0.03524229074889868
Noblesse,0.05726872246696035
Occident,0.039647577092511016
Patrie,0.022026431718061675
Révolution,0.04405286343612335
Société,0.04405286343612335
Souffrance,0.030837004405286344
Traditions,0.05286343612334802
Ville,0.030837004405286344
