Author,Amour,Apprentissage,Argent,Bonheur,Fantastique,Femme,Guerre,Intelligentsia,Liberté,Mort,Nature,Noblesse,Occident,Patrie,Révolution,Société,Souffrance,Traditions,Ville
A.OSTROVSKI,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
A.TOLSTOÏ,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
AKSAKOV,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
AVVAKUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
AÏTMATOV,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
BABEL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
BERGHOLTS,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
BIELY,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
BLOK,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
BOUNINE,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
CHOLOKHOV,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
DOSTOÏEVSKI,9,1,5,1,0,7,0,0,1,3,0,1,2,0,0,0,2,0,2
DOUDINTSEV,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
FADEÏEV,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
FEDINE,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
GOGOL,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
GONTCHAROV,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
GORKI,1,0,2,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0
GRIBOÏEDOV,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
GUINZBOURG,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
HERZEN,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
KOUPRINE,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
KOUZNETSOV,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L.TOLSTOÏ,4,0,0,4,0,3,2,0,1,3,1,2,1,1,0,0,0,0,1
LEONOV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
LESKOV,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
MELNIKOV-PETCHERSKI,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
N.OSTROVSKI,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PASTERNAK,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
POLEVOÏ,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
POUCHKINE,3,1,1,0,1,2,0,0,0,1,2,1,0,0,1,0,0,0,1
SALTYKOV-CHTCHEDRINE,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SOLJENITSYNE,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,2,3,0,0
SOLOGOUB,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCHEKHOV,1,0,1,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0
TCHERNYCHEVSKI,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
TENDRIAKOV,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TOURGUENIEV,3,0,0,2,0,5,0,2,0,2,1,3,2,0,1,0,0,2,0
V.NEKRASSOV,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ZAMIATINE,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
